Congestion,Lon,Lat
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.229633,53.354637
1,-6.257792,53.349143999999995
1,-6.257792,53.349143999999995
1,-6.257792,53.349143999999995
1,-6.257792,53.349143999999995
1,-6.257792,53.349143999999995
1,-6.257792,53.349143999999995
1,-6.427132,53.290783
1,-6.427132,53.290783
1,-6.427132,53.290783
1,-6.427132,53.290783
1,-6.427132,53.290783
1,-6.395743,53.35289399999999
1,-6.395743,53.35289399999999
1,-6.427132,53.290783
1,-6.395743,53.35289399999999
1,-6.427132,53.290783
1,-6.395743,53.35289399999999
1,-6.395743,53.35289399999999
1,-6.427132,53.290783
1,-6.395743,53.35289399999999
1,-6.427132,53.290783
1,-6.395743,53.35289399999999
1,-6.395743,53.35289399999999
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.257792,53.349143999999995
1,-6.312672,53.373608
1,-6.312672,53.373608
