2196,1.0,-6.259525,53.348591000000006,1,5361,1
1759,1.0,-6.261118,53.351344999999995,1,3739,1
4216,1.0,-6.235412999999999,53.342032999999994,1,3189,1
2623,1.0,-6.25614,53.345969999999994,1,2725,1
5245,1.0,-6.21574,53.332584,1,1699,1
4692,1.0,-6.227433,53.341789,1,1682,1
4789,1.0,-6.223919,53.340126,1,1223,1
1352,1.0,-6.262067,53.39118199999999,1,1168,1
1812,1.0,-6.26098,53.360065000000006,1,1113,1
5626,1.0,-6.212283,53.324249,1,1076,1
4036,1.0,-6.239701,53.34255600000001,1,989,1
6458,1.0,-6.207346,53.325611,1,965,1
3640,1.0,-6.245068,53.381519,1,898,1
3606,1.0,-6.245518,53.343365000000006,1,892,1
183,1.0,-6.265345,53.353436,1,871,1
2408,1.0,-6.258309,53.362984,1,856,1
3570,1.0,-6.246041,53.389191000000004,1,713,1
2832,1.0,-6.254246,53.369949,1,685,1
6016,1.0,-6.211245,53.332393999999994,1,654,1
831,1.0,-6.264577,53.356743,1,645,1
2504,1.0,-6.257411,53.390693999999996,1,636,1
3202,1.0,-6.2497739999999995,53.345562,1,597,1
5061,1.0,-6.219572,53.335316000000006,1,554,1
3196,1.0,-6.249843,53.376286,1,553,1
6395,1.0,-6.208836,53.328621,1,441,1
3098,1.0,-6.251322,53.391087,1,382,1
3003,1.0,-6.252235,53.373093000000004,1,350,1
3872,1.0,-6.242439,53.38656999999999,1,193,1
2645,1.0,-6.255955,53.365864,1,128,1
2567,1.0,-6.256834,53.387032,1,18,1
2637,130.0,-6.256236,53.350414,1,2635,1
2991,130.0,-6.250624,53.35047900000001,1,2308,1
5663,130.0,-6.19046,53.358536,1,2138,1
5185,130.0,-6.196832,53.359226,1,2007,1
3706,130.0,-6.210954,53.36042,1,1603,1
5823,130.0,-6.182869,53.360638,1,1429,1
3541,130.0,-6.226844,53.364025,1,1418,1
3467,130.0,-6.231580999999999,53.364158999999994,1,1347,1
5859,130.0,-6.1792,53.362324,1,1288,1
3415,130.0,-6.235311,53.363174,1,1277,1
3309,130.0,-6.239722,53.35994300000001,1,1131,1
3654,130.0,-6.2165230000000005,53.362007,1,1080,1
3621,130.0,-6.2196489999999995,53.362865,1,967,1
3171,130.0,-6.245662,53.355679,1,967,1
5778,130.0,-6.187807,53.365978000000005,1,864,1
4930,130.0,-6.202383,53.360142,1,852,1
5303,130.0,-6.1953190000000005,53.364449,1,794,1
4270,130.0,-6.205083,53.364948,1,774,1
3069,130.0,-6.2486120000000005,53.352947,1,726,1
3225,130.0,-6.242639,53.357597,1,701,1
5841,130.0,-6.18213,53.368584,1,697,1
4931,130.0,-6.202349,53.366595999999994,1,435,1
5900,130.0,-6.174158,53.367706000000005,1,410,1
5466,130.0,-6.191885,53.363815,1,269,1
5872,130.0,-6.177802,53.368828,1,219,1
5793,130.0,-6.186155,53.359692,1,169,1
3859,130.0,-6.206314,53.36025600000001,1,128,1
4891,4.0,-6.260930999999999,53.350914,1,5700,1
5252,4.0,-6.258871,53.347191,1,3851,1
5149,4.0,-6.25924,53.343899,1,3068,1
8346,4.0,-6.181076999999999,53.30145600000001,1,2640,1
6673,4.0,-6.228619,53.328331000000006,1,2414,1
5537,4.0,-6.255597,53.34241899999999,1,2333,1
4395,4.0,-6.264059,53.396149,1,2219,1
9155,4.0,-6.1596839999999995,53.286587,1,2119,1
2923,4.0,-6.2725599999999995,53.362781999999996,1,1826,1
7325,4.0,-6.210329,53.31800500000001,1,1764,1
4079,4.0,-6.265003,53.385360999999996,1,1756,1
6521,4.0,-6.233802,53.330879,1,1696,1
5821,4.0,-6.251646,53.341492,1,1650,1
7229,4.0,-6.213334,53.319241000000005,1,1491,1
4271,4.0,-6.264417,53.352782999999995,1,1298,1
6864,4.0,-6.223886,53.326015000000005,1,1221,1
9680,4.0,-6.1537,53.28856700000001,1,1082,1
6040,4.0,-6.247319999999999,53.339969999999994,1,1079,1
3562,4.0,-6.265978,53.356297,1,1066,1
6314,4.0,-6.241288,53.337879,1,1049,1
7800,4.0,-6.201784,53.312775,1,1008,1
3175,4.0,-6.269024,53.369735999999996,1,972,1
4550,4.0,-6.263807,53.392265,1,963,1
8866,4.0,-6.167912,53.287037,1,894,1
5751,4.0,-6.252754,53.344841,1,873,1
6432,4.0,-6.237385,53.335163,1,869,1
4109,4.0,-6.26497,53.402533999999996,1,761,1
4195,4.0,-6.264807,53.376633,1,703,1
8734,4.0,-6.169822,53.295616,1,686,1
3034,4.0,-6.271604,53.367348,1,674,1
2745,4.0,-6.273461,53.355109999999996,1,671,1
7981,4.0,-6.195061,53.308189,1,641,1
8155,4.0,-6.187167,53.304642,1,606,1
8926,4.0,-6.166771,53.292568,1,604,1
8227,4.0,-6.183967,53.30295600000001,1,590,1
3815,4.0,-6.265428,53.412921999999995,1,556,1
7689,4.0,-6.204701999999999,53.315838,1,551,1
3660,4.0,-6.265748,53.380424,1,481,1
3582,4.0,-6.265924,53.372498,1,442,1
7096,4.0,-6.21622,53.320930000000004,1,436,1
3114,4.0,-6.269965,53.355064,1,390,1
2773,4.0,-6.273111,53.35889399999999,1,386,1
6920,4.0,-6.22049,53.32389499999999,1,346,1
1117,4.0,-6.277717,53.416718,1,294,1
8055,4.0,-6.190743,53.306805000000004,1,177,1
2347,7.0,-6.260571,53.350131999999995,1,5064,1
4767,7.0,-6.258871,53.347191,1,4610,1
29215,7.0,-6.135498999999999,53.292816,1,4410,1
4084,7.0,-6.25924,53.343899,1,4110,1
9986,7.0,-6.255597,53.34241899999999,1,3074,1
