Arran Quay A, 10366.666666666668
Arran Quay B, 5080.263157894737
Arran Quay C, 11583.333333333334
Arran Quay D, 9194.285714285716
Arran Quay E, 11680.76923076923
Ashtown A, 5113.5
Ashtown B, 4266.666666666667
Ayrfield, 6061.797752808989
Ballybough A, 9948.57142857143
Ballybough B, 9568.57142857143
Ballygall A, 7170.833333333334
Ballygall B, 3223.2142857142853
Ballygall C, 3453.5353535353534
Ballygall D, 5800.0
Ballymun A, 3871.5789473684213
Ballymun B, 6078.787878787878
Ballymun C, 7253.246753246753
Ballymun D, 6300.0
Ballymun E, 4520.0
Ballymun F, 5279.545454545455
Beaumont A, 4837.254901960784
Beaumont B, 5652.941176470588
Beaumont C, 5176.666666666667
Beaumont D, 4572.340425531916
Beaumont E, 6253.125
Beaumont F, 6364.814814814815
Botanic A, 2336.363636363636
Botanic B, 6661.224489795918
Botanic C, 6556.666666666667
Cabra East A, 3661.7021276595747
Cabra East B, 7472.340425531916
Cabra East C, 7893.478260869565
Cabra West A, 3284.4444444444443
Cabra West B, 5584.444444444444
Cabra West C, 4735.087719298246
Cabra West D, 4541.666666666667
Clontarf East A, 1557.0754716981132
Clontarf East B, 1942.2413793103449
Clontarf East C, 3750.6024096385545
Clontarf East D, 4242.857142857143
Clontarf East E, 4085.3658536585367
Clontarf West A, 4908.571428571428
Clontarf West B, 5790.0
Clontarf West C, 3205.714285714286
Clontarf West D, 2550.617283950617
Clontarf West E, 7042.424242424242
Drumcondra South A, 4395.192307692308
Drumcondra South B, 4488.235294117647
Drumcondra South C, 4254.666666666667
Edenmore, 4698.275862068966
Finglas North A, 4420.54794520548
Finglas North B, 4321.538461538461
Finglas North C, 2925.225225225225
Finglas South A, 4716.949152542373
Finglas South B, 3868.0
Finglas South C, 6775.675675675676
Finglas South D, 5252.272727272727
Grace Park, 4572.580645161291
Grange A, 5358.083832335329
Grange B, 3935.344827586207
Grange C, 6350.0
Grange D, 6219.696969696969
Grange E, 4690.90909090909
Harmonstown A, 4462.295081967213
Harmonstown B, 4627.586206896552
Inns Quay A, 12346.875
Inns Quay B, 12028.571428571428
Inns Quay C, 9674.999999999998
Kilmore A, 4551.948051948052
Kilmore B, 5416.666666666667
Kilmore C, 2669.8113207547167
Kilmore D, 4003.846153846154
Mountjoy A, 17753.333333333336
Mountjoy B, 12418.181818181818
North City, 9898.148148148148
North Dock A, 9307.142857142857
North Dock B, 2134.674922600619
North Dock C, 8355.76923076923
Phoenix Park, 212.13793103448276
Priorswood A, 897.7011494252873
Priorswood B, 5810.869565217391
Priorswood C, 5046.067415730337
Priorswood D, 3454.430379746835
Priorswood E, 6880.487804878049
Raheny-Foxfield, 4339.6551724137935
Raheny-Greendale, 4911.363636363636
Raheny-St. Assam, 1477.2151898734176
Rotunda A, 18792.0
Rotunda B, 11614.285714285716
Whitehall A, 2685.6060606060605
Whitehall B, 5189.333333333333
Whitehall C, 3006.849315068493
Whitehall D, 4242.647058823529
Chapelizod, 2821.296296296296
Cherry Orchard A, 3483.673469387755
Carna, 4914.035087719299
Cherry Orchard C, 3227.6595744680853
Crumlin A, 6698.148148148148
Crumlin B, 3937.3333333333335
Crumlin C, 4528.0
Crumlin D, 6766.1016949152545
Crumlin E, 7184.210526315789
Crumlin F, 7562.5
Decies, 8487.5
Drumfinn, 4278.048780487805
Inchicore A, 2196.0
Inchicore B, 2459.259259259259
Kilmainham A, 10044.0
Kilmainham B, 2862.8205128205127
Kilmainham C, 7386.440677966102
Kimmage A, 6792.592592592592
Kimmage B, 8104.6511627906975
Kimmage C, 3131.9148936170213
Kimmage D, 5652.380952380952
Kimmage E, 4903.030303030303
Kylemore, 4424.137931034483
Mansion House A, 6900.0
Mansion House B, 1670.3125
Merchants Quay A, 13382.35294117647
Merchants Quay B, 15925.0
Merchants Quay C, 10545.454545454544
Merchants Quay D, 9200.0
Merchants Quay E, 10230.434782608696
Merchants Quay F, 8016.666666666667
Pembroke East A, 2369.7115384615386
Pembroke East B, 5305.882352941176
Pembroke East C, 4550.0
Pembroke East D, 2529.7297297297296
Pembroke East E, 3027.731092436975
Pembroke West A, 7537.096774193548
Pembroke West B, 4347.945205479452
Pembroke West C, 6500.0
Rathfarnham, 3695.9349593495936
Rathmines East A, 6620.0
Rathmines East B, 4391.269841269841
Rathmines East C, 4522.972972972973
Rathmines East D, 7563.88888888889
Rathmines West A, 7595.454545454545
Rathmines West B, 9941.176470588234
Rathmines West C, 6150.0
Rathmines West D, 7981.081081081081
Rathmines West E, 7426.666666666666
Rathmines West F, 6400.0
Royal Exchange A, 10669.04761904762
Royal Exchange B, 8700.0
St. Kevin's, 7919.354838709677
South Dock, 8010.112359550561
Terenure A, 6572.222222222222
Terenure B, 6316.666666666666
Terenure C, 2685.714285714286
Terenure D, 1731.111111111111
Ushers A, 4412.857142857143
Ushers B, 5168.0
Ushers C, 9325.0
Ushers D, 13833.333333333334
Ushers E, 8318.181818181818
Ushers F, 7513.333333333333
Walkinstown A, 2645.4545454545455
Walkinstown B, 5382.35294117647
Walkinstown C, 4695.555555555556
Wood Quay A, 15699.999999999998
Wood Quay B, 11606.666666666668
